tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0835536 1.74387 -0.0927362 0.0264831 -0.677329 0.0193176 0.73495 1.06792
hip -0.0516543 1.1004 0.0691373 0.741572 0.650168 0.0620374 0.153311 1.06792
lHand -0.0348666 1.57497 -1.02515 0.228764 -0.0522675 -0.636119 0.735043 1.06792
lForeArm -0.0883565 1.58806 -0.676153 0.269805 0.641756 -0.50197 0.513206 1.06792
rHand 0.0904087 1.49404 0.812615 -0.572381 -0.781977 0.199538 0.145177 1.06792
rForeArm -0.0149804 1.53376 0.444842 0.569377 0.495182 -0.401451 0.519078 1.06792
lFoot -0.0832143 0.070321 -0.245724 0.109231 0.133337 -0.8416 0.511858 1.06792
rFoot -0.0864249 0.0448419 0.0156803 0.845959 0.52204 -0.00841134 0.108428 1.06792
head 0.0837017 1.74383 -0.0928118 0.0258203 -0.677157 0.0195082 0.735126 1.06792
hip -0.0519533 1.10035 0.0694883 0.741489 0.650883 0.0601324 0.151423 1.06792
lHand -0.0349169 1.57403 -1.02493 0.228653 -0.0528411 -0.635854 0.735266 1.06792
lForeArm -0.0884104 1.58752 -0.676072 0.27054 0.640957 -0.503331 0.512484 1.06792
rHand 0.0921036 1.4931 0.812074 -0.577057 -0.778258 0.199137 0.14719 1.06792
rForeArm -0.0156944 1.53309 0.44276 0.569994 0.494496 -0.404154 0.516953 1.06792
lFoot -0.0828896 0.070339 -0.245587 0.108754 0.13356 -0.841924 0.511369 1.06792
rFoot -0.0861237 0.044732 0.0157721 0.847292 0.520138 -0.0106873 0.106953 1.06792
head 0.0838544 1.74372 -0.0928416 0.0252162 -0.676946 0.0195943 0.735339 1.06792
hip -0.0523198 1.10039 0.0698361 0.740835 0.652253 0.0598646 0.148812 1.06792
lHand -0.0347836 1.57325 -1.02447 0.228707 -0.0533003 -0.635758 0.735298 1.06792
lForeArm -0.0884032 1.58706 -0.675622 0.271593 0.640239 -0.50453 0.511645 1.06792
rHand 0.0940522 1.49232 0.812039 -0.579926 -0.775473 0.199 0.150753 1.06792
rForeArm -0.0147511 1.53282 0.442745 0.570208 0.493401 -0.407377 0.515229 1.06792
lFoot -0.0828791 0.0700253 -0.245476 0.108815 0.13432 -0.841913 0.511175 1.06792
rFoot -0.0857825 0.0449115 0.0161412 0.849044 0.51762 -0.0130278 0.105001 1.06792
head 0.083995 1.74373 -0.0928938 0.0248117 -0.676751 0.0197213 0.735529 1.06792
hip -0.052783 1.10043 0.0700982 0.740275 0.653096 0.0595909 0.14801 1.06792
lHand -0.0350409 1.57238 -1.02431 0.22844 -0.0538311 -0.635454 0.735606 1.06792
lForeArm -0.0886518 1.58643 -0.675461 0.272545 0.639534 -0.505536 0.511027 1.06792
