tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
lFoot -0.0221987 0.0870773 -0.321805 0.0316889 0.146123 -0.836453 0.527247 1.07077
rFoot -0.0635991 0.0381827 0.0217893 0.843963 0.514782 -0.0412506 0.145001 1.07077
head 0.192064 1.70529 -0.166104 0.0236237 -0.689404 -0.0528873 0.722058 1.07077
hip 0.0118326 1.03329 -0.0212338 -0.710748 -0.695026 0.0987408 0.0450183 1.07077
lHand -0.0155387 1.40091 -1.1353 0.0917645 -0.00618717 -0.625319 0.774931 1.07077
lForeArm -0.00687444 1.47695 -0.755079 0.451498 0.405803 -0.612061 0.506809 1.07077
rHand -0.0570797 1.43728 0.742555 0.616325 0.761684 -0.0854449 0.180774 1.07077
rForeArm -0.0133005 1.47326 0.371338 0.596031 0.478207 -0.253134 0.593286 1.07077
lFoot -0.0212667 0.0873638 -0.3214 0.0398981 0.143703 -0.840603 0.520716 1.07077
rFoot -0.0633434 0.0381985 0.0220182 0.844271 0.514239 -0.0422684 0.144836 1.07077
head 0.193205 1.70458 -0.167394 0.0236999 -0.689363 -0.0526034 0.722115 1.07077
hip 0.01212 1.03305 -0.0225551 -0.71116 -0.694053 0.102171 0.0458536 1.07077
lHand -0.0146201 1.4002 -1.1364 0.0934829 -0.00805016 -0.626286 0.773926 1.07077
lForeArm -0.0063374 1.47619 -0.756062 0.451855 0.405752 -0.612281 0.506266 1.07077
rHand -0.0575624 1.43723 0.741204 0.616218 0.761094 -0.0851297 0.183749 1.07077
rForeArm -0.0127207 1.47257 0.369992 0.59673 0.477175 -0.254001 0.593044 1.07077
lFoot -0.0201519 0.0876468 -0.321151 0.0457244 0.140878 -0.8444 0.514831 1.07077
rFoot -0.0637283 0.037972 0.0224535 0.844697 0.513965 -0.0426803 0.143195 1.07077
head 0.19458 1.70356 -0.168642 0.0231258 -0.689271 -0.0524563 0.722232 1.07077
hip 0.0127904 1.03279 -0.0232534 -0.711661 -0.692729 0.107099 0.0468601 1.07077
lHand -0.0138041 1.39959 -1.13768 0.095279 -0.0091104 -0.627877 0.772405 1.07077
lForeArm -0.00572276 1.47516 -0.757269 0.451879 0.406119 -0.61229 0.505938 1.07077
rHand -0.0580274 1.43725 0.739769 0.614655 0.761726 -0.0848382 0.186484 1.07077
rForeArm -0.0121312 1.47175 0.368459 0.596915 0.476134 -0.254784 0.593358 1.07077
lFoot -0.0194705 0.0877869 -0.320788 0.0489205 0.140256 -0.844315 0.514847 1.07077
rFoot -0.0635271 0.0376858 0.0225685 0.845031 0.5135 -0.0439015 0.142522 1.07077
head 0.195922 1.70258 -0.170147 0.0226837 -0.689094 -0.052332 0.722424 1.07077
hip 0.0130799 1.03261 -0.0244679 -0.712018 -0.691511 0.112229 0.0474097 1.07077
lHand -0.0132585 1.39911 -1.13905 0.0963405 -0.00868674 -0.630224 0.770364 1.07077
lForeArm -0.00505471 1.47424 -0.758629 0.452158 0.405847 -0.612606 0.505525 1.07077
rHand -0.0584607 1.43709 0.738228 0.612543 0.762813 -0.0846901 0.189039 1.07077
rForeArm -0.0115674 1.47098 0.367091 0.597212 0.475229 -0.255111 0.593644 1.07077
lFoot -0.0196028 0.0875624 -0.320782 0.0485294 0.14108 -0.844692 0.514039 1.07077
rFoot -0.063401 0.0376842 0.0229568 0.845612 0.512854 -0.0451069 0.141019 1.07077
head 0.197378 1.7014 -0.172033 0.021818 -0.688742 -0.0525795 0.722769 1.07077
hip 0.0132264 1.03223 -0.0263023 -0.712597 -0.690171 0.116482 0.0479839 1.07077
lHand -0.0125849 1.3984 -1.14045 0.0969072 -0.00779245 -0.632092 0.76877 1.07077
lForeArm -0.00413275 1.47316 -0.760131 0.452723 0.40485 -0.61355 0.504673 1.07077
rHand -0.0583574 1.43695 0.736084 0.608931 0.764751 -0.085678 0.192402 1.07077
rForeArm -0.0110022 1.47 0.365335 0.597281 0.474334 -0.255593 0.594083 1.07077
lFoot -0.0196412 0.0875696 -0.320557 0.0472092 0.141088 -0.847441 0.509616 1.07077
rFoot -0.0633416 0.0375434 0.0230525 0.846263 0.51193 -0.0464448 0.140033 1.07077
head 0.199017 1.69999 -0.173327 0.0208847 -0.688402 -0.0530888 0.723083 1.07077
hip 0.0134106 1.03168 -0.0273788 -0.713273 -0.689329 0.117223 0.0482233 1.07077
lHand -0.0124764 1.39778 -1.14206 0.0969995 -0.00525044 -0.632489 0.768454 1.07077
lForeArm -0.0032599 1.47198 -0.761467 0.453645 0.403781 -0.614451 0.503604 1.07077
rHand -0.0581096 1.43658 0.734484 0.607263 0.765352 -0.0869016 0.194718 1.07077
rForeArm -0.0103297 1.46876 0.36378 0.597886 0.473456 -0.254861 0.594489 1.07077
lFoot -0.0195956 0.0875775 -0.32027 0.0466702 0.140575 -0.849243 0.506801 1.07077
rFoot -0.0630322 0.0371635 0.0232644 0.846809 0.511128 -0.0471817 0.139413 1.07077
head 0.200481 1.69855 -0.175453 0.0195505 -0.68799 -0.0541395 0.723434 1.07077
hip 0.0132787 1.03134 -0.0288692 -0.713976 -0.688202 0.119173 0.0491405 1.07077
lHand -0.0124853 1.39738 -1.14395 0.0967051 -0.00304442 -0.631801 0.769068 1.07077
lForeArm -0.00245094 1.47104 -0.76329 0.454562 0.402844 -0.615556 0.502176 1.07077
rHand -0.0573919 1.43608 0.732495 0.606712 0.765325 -0.0885724 0.195788 1.07077
rForeArm -0.00968432 1.46793 0.362212 0.598239 0.473301 -0.254402 0.594454 1.07077
lFoot -0.0191908 0.0872903 -0.320481 0.0479668 0.139545 -0.850233 0.505303 1.07077
rFoot -0.0628053 0.0372072 0.0234501 0.847471 0.510076 -0.0478575 0.139016 1.07077
