tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
lFoot -0.00341034 0.012159 -0.192222 0.213478 0.104164 -0.815716 0.527432 1.04465
rFoot -0.0585722 -0.00433147 0.164065 0.849758 0.495569 0.0193881 0.178735 1.04465
head 0.100594 1.6867 0.0242453 0.0338059 -0.703528 0.0319672 0.709143 1.04465
hip -0.0172369 1.05203 0.183704 0.621228 0.752678 -0.0872824 0.199832 1.04465
lHand 0.0330116 1.50023 -0.93009 0.120191 0.0373715 -0.668036 0.733407 1.04465
lForeArm -0.00182903 1.53362 -0.537296 0.454876 0.503522 -0.402102 0.614708 1.04465
rHand -0.00449812 1.51798 0.946857 0.663846 0.739053 -0.0974048 0.0601833 1.04465
rForeArm -0.0130392 1.5408 0.573558 0.440856 0.563018 -0.421399 0.557745 1.04465
lFoot -0.00335014 0.0121305 -0.192269 0.214195 0.102766 -0.816114 0.5268 1.04465
rFoot -0.0583854 -0.00386262 0.164447 0.851963 0.493184 0.0151643 0.175207 1.04465
head 0.101019 1.68577 0.0250218 0.03273 -0.703019 0.0310226 0.70974 1.04465
hip -0.0194436 1.05205 0.184409 0.623045 0.750484 -0.0884234 0.201915 1.04465
lHand 0.0330331 1.49889 -0.928568 0.122766 0.0325937 -0.672334 0.729269 1.04465
lForeArm -0.00280809 1.53295 -0.53596 0.45513 0.504333 -0.403137 0.613176 1.04465
rHand -0.00436449 1.51838 0.94785 0.662909 0.73972 -0.0983431 0.0607851 1.04465
rForeArm -0.0125763 1.54049 0.574673 0.440669 0.56253 -0.422028 0.55791 1.04465
lFoot -0.00232291 0.0118901 -0.192465 0.216095 0.102737 -0.817289 0.524201 1.04465
rFoot -0.058166 -0.00320351 0.165228 0.854915 0.490185 0.00871158 0.169597 1.04465
head 0.101388 1.68492 0.0257144 0.0315168 -0.702597 0.0300164 0.710256 1.04465
hip -0.0222769 1.05189 0.18542 0.625321 0.747705 -0.0892235 0.204816 1.04465
lHand 0.0331051 1.49778 -0.927118 0.124067 0.0276831 -0.67586 0.725985 1.04465
lForeArm -0.0035702 1.53248 -0.534699 0.455955 0.504634 -0.403889 0.611819 1.04465
rHand -0.00423992 1.51857 0.948611 0.661638 0.740701 -0.099067 0.0614987 1.04465
rForeArm -0.0123714 1.54036 0.575431 0.44032 0.562257 -0.422404 0.558176 1.04465
lFoot -0.00146449 0.0118785 -0.192351 0.220821 0.102457 -0.817211 0.522405 1.04465
rFoot -0.0579022 -0.00241232 0.166301 0.857572 0.487816 0.00158221 0.163107 1.04465
head 0.101868 1.68382 0.0266099 0.0302647 -0.702039 0.0291693 0.710896 1.04465
hip -0.0251727 1.05117 0.185836 0.627279 0.745259 -0.089805 0.207472 1.04465
lHand 0.0330639 1.49559 -0.925586 0.124399 0.021269 -0.677079 0.725008 1.04465
lForeArm -0.00500512 1.53183 -0.533182 0.456832 0.505321 -0.404717 0.610048 1.04465
rHand -0.00384557 1.5185 0.950071 0.660472 0.741674 -0.0988741 0.0626127 1.04465
rForeArm -0.0118233 1.54009 0.576792 0.440715 0.561424 -0.4237 0.557719 1.04465
lFoot -0.00116086 0.0119928 -0.192339 0.22423 0.102917 -0.816538 0.521915 1.04465
rFoot -0.0574423 -0.00157809 0.16773 0.861311 0.483993 -0.00827381 0.154355 1.04465
head 0.102537 1.68253 0.0277646 0.0289956 -0.701366 0.0282359 0.711652 1.04465
hip -0.0287153 1.05041 0.187222 0.629547 0.742369 -0.0899796 0.210862 1.04465
lHand 0.0319368 1.49393 -0.924665 0.123042 0.0174347 -0.67291 0.729211 1.04465
lForeArm -0.00676668 1.53066 -0.5315 0.456577 0.505869 -0.405483 0.609277 1.04465
rHand -0.00332868 1.51868 0.951578 0.6598 0.742152 -0.0988971 0.0639831 1.04465
rForeArm -0.0111428 1.53978 0.578402 0.44097 0.56102 -0.424228 0.557523 1.04465
lFoot -0.000870705 0.0119575 -0.19229 0.226292 0.103685 -0.816813 0.52044 1.04465
rFoot -0.0565995 -0.000584364 0.169225 0.86509 0.480277 -0.0206223 0.143277 1.04465
head 0.103016 1.68114 0.0286579 0.0274631 -0.700814 0.0273465 0.71229 1.04465
hip -0.0323173 1.04932 0.188777 0.63138 0.74022 -0.088905 0.213376 1.04465
lHand 0.0301592 1.4925 -0.92296 0.120721 0.0165161 -0.66861 0.733563 1.04465
